orig_file_name	format	orig_size	orig_width	orig_height	orig_pixel_mode	orig_pixel_depth	out_image	compressed_size	compressed_width	compressed_height	compressed_pixel_mode	compressed_pixel_depth	tool_name	command	stdout	runtime
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/set-up-spring-boot-project.png	PNG	352277	2058	2012	RGBA	32	kotlin_compressed/set-up-spring-boot-project.png	208008	2058	2012	RGBA	32	optipng	optipng -out kotlin_compressed/set-up-spring-boot-project.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/set-up-spring-boot-project.png		1.7995286509976722
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/new-notebook.png	PNG	269206	2494	572	RGBA	32	kotlin_compressed/new-notebook.png	189895	2494	572	RGB	24	optipng	optipng -out kotlin_compressed/new-notebook.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/new-notebook.png		0.8607347510114778
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/teamcity-setupkotlin.png	PNG	44067	704	279	RGBA	32	kotlin_compressed/teamcity-setupkotlin.png	33690	704	279	RGB	24	optipng	optipng -out kotlin_compressed/teamcity-setupkotlin.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/teamcity-setupkotlin.png		0.13805216099717654
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/app-store-required-reasons-warning.png	PNG	99532	1768	314	RGBA	32	kotlin_compressed/app-store-required-reasons-warning.png	54399	1768	314	RGB	24	optipng	optipng -out kotlin_compressed/app-store-required-reasons-warning.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/app-store-required-reasons-warning.png		0.34281372900295537
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/generate-test.png	PNG	135640	1244	754	RGBA	32	kotlin_compressed/generate-test.png	106983	1244	754	RGBA	32	optipng	optipng -out kotlin_compressed/generate-test.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/generate-test.png		0.6914929320046213
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/native-run-config.png	PNG	20383	1006	152	RGBA	32	kotlin_compressed/native-run-config.png	10714	1006	152	RGB	24	optipng	optipng -out kotlin_compressed/native-run-config.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/native-run-config.png		0.0819078799977433
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/wasm-debugger-improved.png	PNG	226646	1074	759	RGBA	32	kotlin_compressed/wasm-debugger-improved.png	169588	1074	759	RGB	24	optipng	optipng -out kotlin_compressed/wasm-debugger-improved.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/wasm-debugger-improved.png		0.4221452589990804
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/run-test.png	PNG	165461	1242	780	RGBA	32	kotlin_compressed/run-test.png	121833	1242	780	RGBA	32	optipng	optipng -out kotlin_compressed/run-test.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/run-test.png		0.7733253889891785
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/dataframe-output.png	PNG	22092	1036	248	RGBA	32	kotlin_compressed/dataframe-output.png	12794	1036	248	RGB	24	optipng	optipng -out kotlin_compressed/dataframe-output.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/dataframe-output.png		0.1345993470022222
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/run-cell-and-select-below.png	PNG	1173	56	56	RGBA	32	kotlin_compressed/run-cell-and-select-below.png	688	56	56	P	8	optipng	optipng -out kotlin_compressed/run-cell-and-select-below.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/run-cell-and-select-below.png		0.0030073530069785193
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook.png	PNG	454346	2197	2043	RGBA	32	kotlin_compressed/kotlin-notebook.png	306091	2197	2043	RGBA	32	optipng	optipng -out kotlin_compressed/kotlin-notebook.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook.png		2.149872484995285
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook-scratch-file.png	PNG	80238	732	704	RGBA	32	kotlin_compressed/kotlin-notebook-scratch-file.png	51065	732	704	RGB	24	optipng	optipng -out kotlin_compressed/kotlin-notebook-scratch-file.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook-scratch-file.png		0.36347205699712504
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/programming-kotlin.png	PNG	60366	190	228	RGBA	32	kotlin_compressed/programming-kotlin.png	47352	190	228	RGB	24	optipng	optipng -out kotlin_compressed/programming-kotlin.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/programming-kotlin.png		0.16578489700623322
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/wasm-old-debugger.png	PNG	287273	1550	986	RGBA	32	kotlin_compressed/wasm-old-debugger.png	172833	1550	986	RGB	24	optipng	optipng -out kotlin_compressed/wasm-old-debugger.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/wasm-old-debugger.png		1.05063938999956
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/xcode-gradle-output.png	PNG	233937	1912	1124	RGBA	32	kotlin_compressed/xcode-gradle-output.png	151793	1912	1124	RGBA	32	optipng	optipng -out kotlin_compressed/xcode-gradle-output.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/xcode-gradle-output.png		0.8567721790022915
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/playground-generated-js.png	PNG	130562	2040	626	RGBA	32	kotlin_compressed/playground-generated-js.png	73967	2040	626	RGB	24	optipng	optipng -out kotlin_compressed/playground-generated-js.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/playground-generated-js.png		0.5258433929993771
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/two-videos-select.png	PNG	117093	2052	864	RGBA	32	kotlin_compressed/two-videos-select.png	41155	2052	864	L	8	optipng	optipng -out kotlin_compressed/two-videos-select.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/two-videos-select.png		0.5321847209997941
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/red-page.png	PNG	51119	1514	666	RGBA	32	kotlin_compressed/red-page.png	24181	1514	666	RGB	24	optipng	optipng -out kotlin_compressed/red-page.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/red-page.png		0.2118558789952658
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/wasm-wasi-app-terminal.png	PNG	59619	1276	370	RGBA	32	kotlin_compressed/wasm-wasi-app-terminal.png	38214	1276	370	RGB	24	optipng	optipng -out kotlin_compressed/wasm-wasi-app-terminal.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/wasm-wasi-app-terminal.png		0.3207966999907512
